Date,Time,FTP,Open,Close,Volume,Bid
,,,,,,
06-01-2020,13:50:38,1505.4,1520,1537.15,8332767,1505.55
06-01-2020,13:50:42,1505.35,1520,1537.15,8333266,1505.55
06-01-2020,13:50:47,1505.15,1520,1537.15,8335396,1505.55
06-01-2020,13:50:51,1505.35,1520,1537.15,8336847,1505.55
06-01-2020,13:50:54,1505.15,1520,1537.15,8337507,1505.15
06-01-2020,13:50:58,1505.65,1520,1537.15,8338227,1505.15
06-01-2020,13:51:03,1505.4,1520,1537.15,8338258,1505.15
06-01-2020,13:51:06,1505.3,1520,1537.15,8338511,1505.15
06-01-2020,13:51:10,1505.3,1520,1537.15,8338617,1505.15
06-01-2020,13:51:14,1505.35,1520,1537.15,8339008,1505.15
06-01-2020,13:51:18,1505.25,1520,1537.15,8339107,1505.15
06-01-2020,13:51:24,1505.1,1520,1537.15,8340082,1505.15
06-01-2020,13:51:28,1505.65,1520,1537.15,8341156,1505.15
06-01-2020,13:51:32,1505.35,1520,1537.15,8341021,1505.15
06-01-2020,13:51:39,1505.65,1520,1537.15,8341572,1505.15
06-01-2020,13:51:43,1505.3,1520,1537.15,8342015,1505.5
06-01-2020,13:51:46,1505.4,1520,1537.15,8342062,1505.5
06-01-2020,13:51:50,1505.3,1520,1537.15,8342179,1505.5
06-01-2020,13:51:55,1505.4,1520,1537.15,8342778,1505.5
06-01-2020,13:52:00,1505.3,1520,1537.15,8343302,1505.5
06-01-2020,13:52:04,1505.05,1520,1537.15,8343476,1505.5
06-01-2020,13:52:08,1505.05,1520,1537.15,8343833,1505.5
06-01-2020,13:52:13,1505,1520,1537.15,8345863,1505.5
06-01-2020,13:52:17,1505.25,1520,1537.15,8346725,1505.5
06-01-2020,13:52:21,1505.25,1520,1537.15,8347010,1505.5
06-01-2020,13:52:25,1504.9,1520,1537.15,8347104,1505.5
06-01-2020,13:52:28,1504.85,1520,1537.15,8348078,1505.5
06-01-2020,13:52:33,1504.65,1520,1537.15,8348222,1504.7
06-01-2020,13:52:38,1504.7,1520,1537.15,8349159,1504.7
06-01-2020,13:52:45,1504.85,1520,1537.15,8349664,1504.7
06-01-2020,13:52:49,1504.5,1520,1537.15,8350627,1504.7
06-01-2020,13:52:54,1504.3,1520,1537.15,8350985,1504.7
06-01-2020,13:52:58,1504.25,1520,1537.15,8351970,1504.7
06-01-2020,13:53:03,1504.2,1520,1537.15,8352404,1504.7
06-01-2020,13:53:08,1504.45,1520,1537.15,8352869,1504.7
06-01-2020,13:53:12,1504.25,1520,1537.15,8353138,1504.7
06-01-2020,13:53:17,1504.1,1520,1537.15,8354365,1504.05
06-01-2020,13:53:22,1504.1,1520,1537.15,8354966,1504.05
06-01-2020,13:53:27,1504.05,1520,1537.15,8356052,1504.05
06-01-2020,13:53:31,1504.05,1520,1537.15,8356576,1504.05
06-01-2020,13:53:35,1503.75,1520,1537.15,8363028,1504.05
06-01-2020,13:53:40,1503.6,1520,1537.15,8363496,1504.05
06-01-2020,13:53:46,1503.9,1520,1537.15,8365957,1504.05
06-01-2020,13:53:50,1503.85,1520,1537.15,8367113,1504.05
06-01-2020,13:53:55,1504,1520,1537.15,8368168,1504.05
06-01-2020,13:54:00,1504.7,1520,1537.15,8369701,1504.05
06-01-2020,13:54:05,1504.95,1520,1537.15,8371389,1504.65
06-01-2020,13:54:09,1504.5,1520,1537.15,8372108,1504.65
06-01-2020,13:54:17,1504.4,1520,1537.15,8373753,1504.65
06-01-2020,13:54:21,1504.6,1520,1537.15,8373964,1504.65
06-01-2020,13:54:25,1504.95,1520,1537.15,8375215,1504.65
06-01-2020,13:54:29,1504.95,1520,1537.15,8375862,1504.65
06-01-2020,13:54:34,1505,1520,1537.15,8376629,1504.65
06-01-2020,13:54:38,1504.85,1520,1537.15,8377391,1504.65
06-01-2020,13:54:42,1504.75,1520,1537.15,8377618,1504.65
06-01-2020,13:54:45,1505,1520,1537.15,8378384,1504.65
06-01-2020,13:54:49,1504.85,1520,1537.15,8378511,1504.85
06-01-2020,13:54:53,1504.85,1520,1537.15,8378730,1504.85
06-01-2020,13:54:58,1504.7,1520,1537.15,8379239,1504.85
06-01-2020,13:55:02,1504.75,1520,1537.15,8379576,1504.85
06-01-2020,13:55:07,1504.75,1520,1537.15,8381961,1504.85
06-01-2020,13:55:10,1505.3,1520,1537.15,8382019,1504.85
06-01-2020,13:55:14,1505.45,1520,1537.15,8383329,1504.85
06-01-2020,13:55:19,1504.85,1520,1537.15,8383540,1504.85
06-01-2020,13:55:23,1504.75,1520,1537.15,8384676,1504.85
06-01-2020,13:55:29,1505,1520,1537.15,8385494,1504.85
06-01-2020,13:55:33,1505.1,1520,1537.15,8385901,1504.85
06-01-2020,13:55:37,1505.05,1520,1537.15,8386293,1505.05
06-01-2020,13:55:42,1505.1,1520,1537.15,8387464,1505.05
06-01-2020,13:55:47,1505.1,1520,1537.15,8388239,1505.05
06-01-2020,13:55:51,1505.15,1520,1537.15,8388591,1505.05
06-01-2020,13:55:55,1505.15,1520,1537.15,8388618,1505.05
06-01-2020,13:55:59,1505.1,1520,1537.15,8389046,1505.05
06-01-2020,13:56:04,1505.1,1520,1537.15,8389222,1505.05
06-01-2020,13:56:08,1505,1520,1537.15,8389521,1505.05
06-01-2020,13:56:12,1505.05,1520,1537.15,8389582,1505.05
06-01-2020,13:56:16,1505.25,1520,1537.15,8390475,1505.05
06-01-2020,13:56:21,1505.1,1520,1537.15,8390940,1505.05
06-01-2020,13:56:25,1505.05,1520,1537.15,8391155,1504.95
06-01-2020,13:56:29,1504.95,1520,1537.15,8391744,1504.95
06-01-2020,13:56:32,1504.95,1520,1537.15,8391786,1504.95
06-01-2020,13:56:36,1505.25,1520,1537.15,8392482,1504.95
06-01-2020,13:56:41,1504.55,1520,1537.15,8392877,1504.95
06-01-2020,13:56:46,1504.9,1520,1537.15,8393459,1504.95
06-01-2020,13:56:50,1504.75,1520,1537.15,8393545,1504.95
06-01-2020,13:56:55,1504.6,1520,1537.15,8393885,1504.95
06-01-2020,13:57:00,1504.5,1520,1537.15,8394330,1504.95
06-01-2020,13:57:05,1504.6,1520,1537.15,8395740,1504.95
06-01-2020,13:57:09,1504.8,1520,1537.15,8396169,1504.5
06-01-2020,13:57:14,1504.7,1520,1537.15,8396534,1504.5
